id,title,description,availability,condition,price,link,image_link,brand,item_group_id,Size
NCH-LT-500,Lemon Tea,Fresh lemon tea — tangy light and refreshing,in stock,new,189 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/lemon-tea-1.jpg,Nawabi Chai House,NCH-LT,500ml
NCH-ZC-250,Zafran Chai,Saffron-infused Irani chai — premium golden colour aromatic and delicate,in stock,new,139 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/zafran-chai.jpg,Nawabi Chai House,NCH-ZC,250ml
NCH-ZC-500,Zafran Chai,Saffron-infused Irani chai — premium golden colour aromatic and delicate,in stock,new,268 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/zafran-chai.jpg,Nawabi Chai House,NCH-ZC,500ml
NCH-KC-250,Karak Chai,Extra-strong Karak chai — bold double-brewed for those who like it intense,in stock,new,119 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/karak-chai.jpg,Nawabi Chai House,NCH-KC,250ml
NCH-KC-500,Karak Chai,Extra-strong Karak chai — bold double-brewed for those who like it intense,in stock,new,228 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/karak-chai.jpg,Nawabi Chai House,NCH-KC,500ml
NCH-IM-250,Irani Milk,Fresh Irani milk served warm — thick rich and naturally sweet,in stock,new,119 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-milk.jpg,Nawabi Chai House,NCH-IM,250ml
NCH-IM-500,Irani Milk,Fresh Irani milk served warm — thick rich and naturally sweet,in stock,new,228 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-milk.jpg,Nawabi Chai House,NCH-IM,500ml
NCH-ICM-250,Irani Chocolate Milk,Creamy Irani milk blended with rich chocolate — a crowd favourite,in stock,new,139 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-chocolate-milk.jpg,Nawabi Chai House,NCH-ICM,250ml
NCH-ICM-500,Irani Chocolate Milk,Creamy Irani milk blended with rich chocolate — a crowd favourite,in stock,new,268 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-chocolate-milk.jpg,Nawabi Chai House,NCH-ICM,500ml
NCH-IBM-250,Irani Badam Milk,Warm Irani milk enriched with badam — nourishing and indulgent,in stock,new,139 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-badam-milk.jpg,Nawabi Chai House,NCH-IBM,250ml
NCH-IBM-500,Irani Badam Milk,Warm Irani milk enriched with badam — nourishing and indulgent,in stock,new,268 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-badam-milk.jpg,Nawabi Chai House,NCH-IBM,500ml
NCH-MC-250,Milk Coffee,Smooth Irani-style milk coffee — bold coffee balanced with creamy milk,in stock,new,139 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/milk-coffee.jpg,Nawabi Chai House,NCH-MC,250ml
NCH-MC-500,Milk Coffee,Smooth Irani-style milk coffee — bold coffee balanced with creamy milk,in stock,new,268 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/milk-coffee.jpg,Nawabi Chai House,NCH-MC,500ml
NCH-BKC-250,Black Coffee,Strong black coffee served Irani-style — no milk rich and intense,in stock,new,139 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/masala-coffee.jpg,Nawabi Chai House,NCH-BKC,250ml
NCH-BKC-500,Black Coffee,Strong black coffee served Irani-style — no milk rich and intense,in stock,new,268 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/masala-coffee.jpg,Nawabi Chai House,NCH-BKC,500ml
NCH-CB,Cream Bun,Soft fresh-baked bun filled with light sweet cream — a bakery classic,in stock,new,99 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/cream-bun.jpg,Nawabi Chai House,,
NCH-MB,Maska Bun,Fresh bun generously spread with maska (butter) — the chai companion,in stock,new,119 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/maska-bun.jpg,Nawabi Chai House,,
NCH-MLB,Malai Bun,Soft bun layered with thick malai cream — rich and indulgent,in stock,new,119 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/malai-bun.jpg,Nawabi Chai House,,
NCH-NB,Nutella Bun,Fresh bun filled with Nutella — the ultimate sweet treat,in stock,new,139 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/nutella-bun.jpg,Nawabi Chai House,,
NCH-OB,Omlet Bun,Freshly made egg omlet bun — warm savoury and filling,in stock,new,139 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/omlet-bun.jpg,Nawabi Chai House,,
NCH-BMJ,Bun Maska Jam,Buttered bun with a sweet layer of jam — simple and satisfying,in stock,new,139 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/bun-maska-jam.jpg,Nawabi Chai House,,
NCH-CO,Cheese Omlet,Fluffy egg omlet loaded with melted cheese — a savoury favourite,in stock,new,149 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/cheese-omlet.jpg,Nawabi Chai House,,
NCH-KS,Kheema Samosa (2pc),Crispy samosa stuffed with spiced minced meat — 2 pieces,in stock,new,59 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/kheema-samosa.jpg,Nawabi Chai House,,
NCH-IP,Irani Poori (3pc),Soft puffed Irani-style pooris — 3 pieces,in stock,new,139 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/irani-poori.jpg,Nawabi Chai House,,
NCH-LK,Lukhmi,Crispy flaky Hyderabadi pastry with savoury filling — a classic Irani cafe snack,in stock,new,69 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/lukhmi.jpg,Nawabi Chai House,,
NCH-KJ,Kajoor (2pc),Traditional Hyderabadi date-filled pastry — 2 pieces,in stock,new,69 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/kajoor.jpg,Nawabi Chai House,,
NCH-DP,Dil Pasand,Flaky sweet pastry filled with coconut and tutti-frutti — a bakery favourite,in stock,new,99 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/dil-pasand.jpg,Nawabi Chai House,,
NCH-OB3,Osmania Biscuits (3pc),Iconic Hyderabadi Osmania biscuits — buttery crispy and made for dunking in chai — 3 pieces,in stock,new,59 INR,https://nawabichaihouse.com,https://nawabichaihouse.com/assets/menu-photos/sm/osmania-biscuits.jpg,Nawabi Chai House,,
